"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 01:32:16 GMT 2024","Fri Feb 02 01:32:22 GMT 2024","6086","Dragon Tests","Smoke tests","tests.SearchTest","tests.SearchTest","testSearchByNotExistingWord","TC1361-01 - Typing of not found text gives 'Nothing found. Try to use other keywords' message.","Objective: To confirm the display of the 'Nothing found. Try to use other keywords' message when a non-existent keyword is typed."
"passed","Fri Feb 02 01:32:06 GMT 2024","Fri Feb 02 01:32:11 GMT 2024","4816","Dragon Tests","Smoke tests","tests.SearchTest","tests.SearchTest","testSearchByExistingWord","TC1361-02 - Displaying All Matches for the Searched Keyword.","Objective: To confirm that searching a keyword displays all partial or full matches under the Search field."
